id,nombre
1,Academia de Auditoría e Impuestos
2,Academia de Administración
3,Academia de Contabilidad
4,Academia de Desarrollo de Negocios
5,Academia de Economía
6,Academia de Finanzas
7,Academia de Mercadotecnia
8,Academia de Turismo
9,Academia de Educación
10,Academia de Derecho Civil
11,Academia de Metodología
12,Academia de Trabajo Social
13,Academia de Derecho Mercantil
14,Academia de Derecho Administrativo
15,Academia de Comunicación
16,"Academia de Idiomas Academia de Sociologia, Historia y Filosofia"
17,Academia de Derecho Penal
18,Academia Ambiental
19,Academia de Álgebra
20,Academia de Estadística y Aplicaciones
21,Academia de  Matemáticas Avanzadas
22,Academia de Física
23,Academia de Ciencias Computacionales
24,Academia de Mecánica
25,Academia de Electrónica
26,Academia de Instrumentación y Control
27,Academia Informática Aplicada
28,Academia de Comportamiento social y humano
29,Academia de Salud mental
30,Academia de Fundamentos básicos del comportamiento
31,Academia de Psicología y procesos psicoeducativos
32,Academia Salud y Bienestar
33,Academia Neurociencias
